"anio","provincia_nombre","provincia_id","nacimientos","TBN","TGF","TFA"
2012,"Buenos Aires",6,289854,18,"2.28","35.24"
2012,"Catamarca",10,6486,"16.83","2.12","33.69"
2012,"Chaco",22,22831,"20.66","2.46","50.25"
2012,"Chubut",26,9733,"18.19","2.2","30.1"
2012,"Ciudad de Buenos Aires",2,45015,"14.81","1.79","13.41"
2012,"Córdoba",14,57505,"16.66","2.12","29.51"
2012,"Corrientes",18,19727,"18.99","2.33","39.69"
2012,"Entre Ríos",30,22122,"17.26","2.24","36.26"
2012,"Formosa",34,11828,"21.02","2.55","45.98"
2012,"Jujuy",38,12989,"18.52","2.23","34.61"
2012,"La Pampa",42,5372,"16.11","2.16","31.18"
2012,"La Rioja",46,6329,"17.96","2.1","33.83"
2012,"Mendoza",50,33071,"18.17","2.28","32.21"
2012,"Misiones",54,25992,"22.72","2.71","47.53"
2012,"Neuquén",58,11443,"19.35","2.36","35.72"
2012,"Río Negro",62,11865,"17.74","2.23","32.32"
2012,"Salta",66,26998,"21.14","2.57","42.7"
2012,"San Juan",70,14466,"20.28","2.62","38.47"
2012,"San Luis",74,7690,"16.83","2.15","30.61"
2012,"Santa Cruz",78,5928,"20.2","2.42","32.8"
2012,"Santa Fe",82,54246,"16.37","2.07","34.64"
2012,"Santiago del Estero",86,18467,"20.55","2.54","44.33"
2012,"Tierra del Fuego",94,2790,"19.95","2.38",31
2012,"Tucumán",90,28857,"18.85","2.32","36.57"
2013,"Buenos Aires",6,290187,"17.81","2.29","35.02"
2013,"Catamarca",10,6649,"17.08","2.15","35.16"
2013,"Chaco",22,22586,"20.2","2.41","48.17"
2013,"Chubut",26,10042,"18.4","2.26","30.99"
2013,"Ciudad de Buenos Aires",2,44891,"14.75","1.84","13.82"
2013,"Córdoba",14,58299,"16.71","2.13","30.03"
2013,"Corrientes",18,19659,"18.73","2.28","41.23"
2013,"Entre Ríos",30,22392,"17.29","2.25","35.55"
2013,"Formosa",34,11581,"20.38","2.47","46.61"
2013,"Jujuy",38,12912,"18.18","2.2","35.14"
2013,"La Pampa",42,5608,"16.66","2.23","32.04"
2013,"La Rioja",46,6509,"18.21","2.11","36.64"
2013,"Mendoza",50,33356,"18.11","2.3","33.46"
2013,"Misiones",54,25984,"22.41","2.67","47.86"
2013,"Neuquén",58,11475,"19.09","2.35","34.09"
2013,"Río Negro",62,12007,"17.69","2.24","32.02"
